Water Source,Irrigated area,Irrigation value($ M),employment irrigation,Total Entitlement,Mean Flow,DSI,FUI
Avon River Water Source,1115038,351,34,1744,422,1,0.02
Bowman River Water Source,981022,278,27,2120,335,1,0.02
Cooplacurripa River Water Source,283562,725,69,400,654,1,0
Dingo Creek Water Source,404085,661,65,4925,933,1,0.02
Lower Barnard River Water Source,0,758,80,21369,107,0,1
Lower Barrington / Gloucester Rivers Water Source,4277299,346,33,11293,416,1,0.09
Lower Manning River Water Source,2740588,664,64,20400,3088,0.67,0.03
Manning Estuary Tributaries Water Source,21286826,1143,110,4213,278,0,1
Mid Manning River Water Source,83343,217,21,991,1009,1,0
Myall Creek Water Source,0,538,52,2298,400,1,0
Nowendoc River Water Source,0,554,53,1274,496,1,0.01
Rowleys River Water Source,0,791,80,277,709,1,0
Upper Barnard River Water Source,0,864,89,1159,237,1,0.01
Upper Barrington River Water Source,0,704,67,951,778,1,0
Upper Gloucester River Water Source,2861407,308,30,5419,114,0.06,0.23
Upper Manning River Water Source,90585,580,66,2241,260,1,0.04
