Water Source,Wet land area (HA),Mean Flow,Benefit from environment (Million $)
Avon River Water Source,22.21,422,0.07
Bowman River Water Source,3.42,335,0.01
Cooplacurripa River Water Source,9.13,654,0.03
Dingo Creek Water Source,4.53,933,0.02
Lower Barnard River Water Source,55.24,107,0.18
Lower Barrington / Gloucester Rivers Water Source,132.46,416,0.44
Lower Manning River Water Source,282.38,3088,0.94
Manning Estuary Tributaries Water Source,8748.91,278,29.18
Mid Manning River Water Source,42.11,1009,0.14
Myall Creek Water Source,8.23,400,0.03
Nowendoc River Water Source,84.86,496,0.28
Rowleys River Water Source,4.65,709,0.02
Upper Barnard River Water Source,21.96,237,0.07
Upper Barrington River Water Source,55.02,778,0.18
Upper Gloucester River Water Source,12.44,114,0.04
Upper Manning River Water Source,7.51,260,0.03
