Water source,Total unregulated requirement ,Irrigated area,Population,Irrigation value ($),Mining value ($M),Employment (irrigation),Employment (mining),Total entitlement,Agriculture water use,Mining water use,Wetland area,Mean flow,Variation,Median,Days below mean,DSI,100 years flood frequency,Normalized flood exposure,Time below requirement,FUI,Risk to mining productivity index,IndexRank,Risk to agriculture ($ millions),Risk to Mining ,MiningRiskIndexRank,Opprtunity to Agriculture,Opportunity of mining ,MiningOpportunityIndexRank,Environment  production
Avon River Water Source,1744,1115037.838,2679,3506623.97,2.35,34,19,1744,909.5,79,222135.6,344.9,2.7,108.4,0.79,79.09,0.01,0.5,0,0.01,0.2,8,0,0,1,74.43350393,560.6682087,16,0.074082207
Bowman River Water Source,2120,981021.731,2125,2781006.89,1.87,27,15,2120,2000.5,0,34177.4,273.9,2.7,86.1,0.79,79.09,0.01,0.5,0,0.02,0.17,6,0,0,1,53.34089644,26.13438905,12,0.011398163
Cooplacurripa River Water Source,400,283561.9168,2885,7248687.13,2.5,69,20,400,600,0,91348.5,664.3,3,148.2,0.8,100,0,0.17,0,0,0.1,4,0,0,1,68.94402861,26.84687662,13,0.030464728
Dingo Creek Water Source,4925,404085.0942,5401,6611853.53,4.58,65,36,4925,4855,12,45283.6,1069.9,3.5,205.6,0.85,100,0,0,0,0.01,0.23,10,0,0,1,91.69988957,-0.001577502,4,0.015102087
Lower Barnard River Water Source,21369,0,5189,7584840.22,6.98,80,58,21369,1349,0,552374.2,60.7,10,0,0.96,80.61,0.01,1,0.8,0.96,0.47,15,1.625240623,0,1,19.95194883,-0.001577502,5,0.184216789
Lower Barrington / Gloucester Rivers Water Source,11293,4277298.575,2642,3457479.58,2.32,33,18,11293,9247,5,1324573.2,340.5,2.7,107,0.79,79.09,0.01,0.5,0.02,0.09,0.2,7,0,0,1,132.0104831,99.23359714,14,0.441745163
Lower Manning River Water Source,20400,2740588.405,5073,6639493.16,4.46,64,35,20400,6834,60,2823801.5,2716.2,2.2,630.9,0.77,76.36,0,0,0,0.02,0.34,12,2.676961402,1.654387868,2,130.2005642,21.15809216,10,0.941737791
Manning Estuary Tributaries Water Source,4213,21286825.64,8750,11430812.66,7.68,110,61,4213,2167,84,87489081.8,1505.3,4.5,1.3,0.89,100,0,0.17,0,0.01,0.41,14,2.570958664,7.015108947,4,233.0447575,0,7,29.17760877
Mid Manning River Water Source,991,83343.45852,1654,2165321.19,1.45,21,11,991,991,0,421103.8,887.3,2.2,206.1,0.77,76.36,0,0,0,0,0.16,5,0,0,1,27.05842492,-0.001577502,3,0.140438117
Myall Creek Water Source,2298,0,595,5376363.63,0.78,52,7,2298,0,0,82281.1,406,2.4,98.3,0.77,100,0.01,0.5,0,0.02,0,1,0,0,1,63.36952723,-0.001577502,1,0.027440763
Nowendoc River Water Source,1274,0,2340,5537140.84,2.03,53,16,1274,1166,5,848585.5,503.4,3,112.3,0.8,100,0,0.17,0,0.01,0.07,2,0,0,1,88.30361971,-0.001577502,2,0.283003258
Rowleys River Water Source,277,0,5478,7909207.72,4.17,80,33,277,277,0,46470.9,719.6,3,160.6,0.8,100,0,0.17,0,0,0.2,9,0,0,1,29.17128626,1.024959078,8,0.015498031
Upper Barnard River Water Source,1159,0,2612,8639650.81,9.15,89,84,1159,1159,0,219567.7,232.1,3.9,29.4,0.86,100,0,0.17,0,0.01,0.5,16,0,0,1,60.35667582,-0.001577502,6,0.073225824
Upper Barrington River Water Source,951,0,5376,7036486.65,4.72,67,37,951,916,28,550169.2,838.9,2.5,304.8,0.8,100,0,0.17,0,0,0.24,11,0,0,1,89.47992106,9.480918914,9,0.183481421
Upper Gloucester River Water Source,5419,2861407.248,2354,3080737.52,2.07,30,16,5419,4949,83,124429.7,128.4,5.8,5.3,0.92,100,0,0.17,0.05,0.12,0.08,3,5.62509634,6.640634155,3,44.69038524,126.0388451,15,0.04149729
Upper Manning River Water Source,2241,90585.39494,3583,5799092.46,6.54,66,56,2241,1729,0,75139.7,295.6,3.2,41.2,0.81,100,0,0.17,0.01,0.02,0.34,13,0,0,1,61.26760017,23.42267526,11,0.025059104
